TEDIS PHARMA CI;;;STATISTIQUES LABORATOIRE ECLATEES PAR CLIENT
Votre partenaire Santé;;;INOX PHARMA - CROIENT PHARMA

CIP;Désignation du produit;Client;Mai-26;Avr.-26;Mar.-26;Fév.-26;Jan.-26;Déc.-25
5934933;ANOCURE 40MG/320MG CPR B/12;SAINT JOSEPH;0;2;0;0;0;0
5934933;ANOCURE 40MG/320MG CPR B/12;SANMIEN DE NATIO;0;1;0;0;0;0
5934933;ANOCURE 40MG/320MG CPR B/12;STE ADELE SARL;1;0;0;0;0;0
5934933;ANOCURE 40MG/320MG CPR B/12;STE MARIE -TIASSALE;2;15;4;0;0;0
5934933;ANOCURE 40MG/320MG CPR B/12;STE MARIE NGATTAKRO;0;0;2;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;AKRE ALBERT;0;5;0;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;BELLE VILLE JEAN FOLLY SARLU;0;1;0;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;CEPHAS;1;0;0;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;DE L ARCHANGE -SAN PEDRO;0;0;1;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;DE PARA;0;0;10;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;DE SOBA KORHOGO;0;5;0;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;DE YAMOUSSOUKRO;0;0;1;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;DU BLD DE FRANCE;0;1;0;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;DU BOULEVARD CARDE;0;0;1;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;DU MARCHE DABOU SARL U;0;0;2;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;DU NORD;4;1;0;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;FADYL SARL U;0;0;1;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;FOTAMANA;0;1;0;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;GRACE DE DIEU DE SEGUELA;0;0;1;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;INOX SARL U;0;0;20;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;KORO;0;2;0;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;LA GRANDE PHARMACIE CHRIST ROI;0;0;1;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;LA PAIX;1;0;0;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;LIBERTE DE BOUAKE SARLU;2;0;0;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;NOUVELLE PHCIE LA GRACE SARL;1;0;0;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;NOUVELLE PHCIE PRINCIPALE GAGNOA SARL U;0;2;0;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;PENIEL SARL U;1;0;0;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;PONT DE LIANES;0;11;0;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;PRINCIPALE - KORHOGO;0;2;0;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;SAINT ALEXANDRE;1;1;0;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;SAINT JOSEPH;0;2;0;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;SALAM DE LA GRANDE MOSQUEE - KORHOGO;1;1;0;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;SANMIEN DE NATIO;0;1;0;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;SANTE PLUS WILLIAMSVILLE;8;22;0;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;ST FRANCOIS D ASSISE;0;0;1;0;0;0
5906933;ANOCURE 40MG/320MG CPR B/9;STE MARIE NGATTAKRO;0;0;2;0;0;0
5962433;ANOCURE DS 90MG/720MG PDRE SUSP BUV F/60ML;AKRE ALBERT;0;3;0;0;0;0
5962433;ANOCURE DS 90MG/720MG PDRE SUSP BUV F/60ML;BELLE VILLE JEAN FOLLY SARLU;0;1;0;0;0;0
5962433;ANOCURE DS 90MG/720MG PDRE SUSP BUV F/60ML;DE L ARCHANGE -SAN PEDRO;0;0;2;0;0;0
5962433;ANOCURE DS 90MG/720MG PDRE SUSP BUV F/60ML;DE PARA;0;24;10;0;0;0
5962433;ANOCURE DS 90MG/720MG PDRE SUSP BUV F/60ML;DE YAMOUSSOUKRO;0;0;1;0;0;0
5962433;ANOCURE DS 90MG/720MG PDRE SUSP BUV F/60ML;DU CARREFOUR ANCIENNE GENDARMERIE;1;0;1;0;0;0
5962433;ANOCURE DS 90MG/720MG PDRE SUSP BUV F/60ML;FADYL SARL U;0;0;1;0;0;0
5962433;ANOCURE DS 90MG/720MG PDRE SUSP BUV F/60ML;FIDELITAS;0;1;0;0;0;0
5962433;ANOCURE DS 90MG/720MG PDRE SUSP BUV F/60ML;FOTAMANA;0;1;0;0;0;0
5962433;ANOCURE DS 90MG/720MG PDRE SUSP BUV F/60ML;INOX SARL U;0;0;20;0;0;0
5962433;ANOCURE DS 90MG/720MG PDRE SUSP BUV F/60ML;KAMON N'SIÔ;0;1;0;0;0;0
5962433;ANOCURE DS 90MG/720MG PDRE SUSP BUV F/60ML;LA GRANDE PHARMACIE CHRIST ROI;0;0;1;0;0;0
5962433;ANOCURE DS 90MG/720MG PDRE SUSP BUV F/60ML;LIBERTE DE BOUAKE SARLU;2;0;0;0;0;0
5962433;ANOCURE DS 90MG/720MG PDRE SUSP BUV F/60ML;SAINT JOSEPH;0;1;0;0;0;0
5962433;ANOCURE DS 90MG/720MG PDRE SUSP BUV F/60ML;SANMIEN DE NATIO;0;1;0;0;0;0
5962433;ANOCURE DS 90MG/720MG PDRE SUSP BUV F/60ML;ST ATHANASE;0;1;0;0;0;0
5962433;ANOCURE DS 90MG/720MG PDRE SUSP BUV F/60ML;STE ADELE SARL;2;0;0;0;0;0
5962433;ANOCURE DS 90MG/720MG PDRE SUSP BUV F/60ML;STE MARIE -TIASSALE;1;9;4;0;0;0
5962433;ANOCURE DS 90MG/720MG PDRE SUSP BUV F/60ML;STE MARIE NGATTAKRO;0;0;4;0;0;0
5852033;ANOCURE DT 20MG/160MG CPR DISP B/6;AKRE ALBERT;0;5;0;0;0;0
5852033;ANOCURE DT 20MG/160MG CPR DISP B/6;DE L ARCHANGE -SAN PEDRO;0;0;2;0;0;0
5852033;ANOCURE DT 20MG/160MG CPR DISP B/6;DE PARA;15;0;0;0;0;0
5852033;ANOCURE DT 20MG/160MG CPR DISP B/6;DE YAMOUSSOUKRO;0;0;1;0;0;0
5852033;ANOCURE DT 20MG/160MG CPR DISP B/6;DU NORD;0;1;0;0;0;0
5852033;ANOCURE DT 20MG/160MG CPR DISP B/6;FADYL SARL U;0;0;1;0;0;0
5852033;ANOCURE DT 20MG/160MG CPR DISP B/6;FOTAMANA;0;1;0;0;0;0
5852033;ANOCURE DT 20MG/160MG CPR DISP B/6;INOX SARL U;0;0;20;0;0;0
5852033;ANOCURE DT 20MG/160MG CPR DISP B/6;KORO;1;2;0;0;0;0
5852033;ANOCURE DT 20MG/160MG CPR DISP B/6;LA GRANDE PHARMACIE CHRIST ROI;0;0;2;0;0;0
5852033;ANOCURE DT 20MG/160MG CPR DISP B/6;LIBERTE DE BOUAKE SARLU;2;0;0;0;0;0
5852033;ANOCURE DT 20MG/160MG CPR DISP B/6;NOUVELLE PHCIE LA GRACE SARL;1;0;0;0;0;0
5852033;ANOCURE DT 20MG/160MG CPR DISP B/6;PONT DE LIANES;0;1;0;0;0;0
5852033;ANOCURE DT 20MG/160MG CPR DISP B/6;SAINT JOSEPH;0;1;0;0;0;0
5852033;ANOCURE DT 20MG/160MG CPR DISP B/6;SANMIEN DE NATIO;0;1;0;0;0;0
5852033;ANOCURE DT 20MG/160MG CPR DISP B/6;SANTE PLUS WILLIAMSVILLE;0;6;0;0;0;0
5852033;ANOCURE DT 20MG/160MG CPR DISP B/6;ST ATHANASE;0;1;0;0;0;0
5852033;ANOCURE DT 20MG/160MG CPR DISP B/6;ST FRANCOIS D ASSISE;0;0;1;0;0;0
5852033;ANOCURE DT 20MG/160MG CPR DISP B/6;STE MARIE NGATTAKRO;0;0;4;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;ABOBO CLOUETCHA;0;0;0;0;0;3
3000000381571;AZIENT 500MG CPR PELL B/3;AMINA;0;0;1;2;1;0
3000000381571;AZIENT 500MG CPR PELL B/3;ATELE;2;0;0;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;AZUR;0;0;2;0;1;0
3000000381571;AZIENT 500MG CPR PELL B/3;BARAKA;0;0;0;0;1;0
3000000381571;AZIENT 500MG CPR PELL B/3;BELLE VILLE JEAN FOLLY SARLU;0;1;2;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;BELLE-VILLE BONON NEW;0;1;0;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;BERACA;0;2;0;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;BEREKYAH;1;0;0;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;BETHESDA DE SANGOUINE;2;0;0;5;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;CADUCEE MODERNE;0;0;2;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;CENTRALE -OUME;0;3;0;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;CENTRE AVE MARIA DE NIMBA;0;0;0;0;8;0
3000000381571;AZIENT 500MG CPR PELL B/3;CHATELET;0;0;0;2;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;CHAYAH TERMINUS 40;1;0;0;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;COEURS UNIS DE DIGNAGO;0;0;0;0;0;3
